date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:32	9767/9767	---M-Z	200	added ('OK')	text/html	etag:%222627-66e3128f-fae8e3debadd264d;gz%22	https://nupagamentos.online/orbi/loja/index-2.html	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/index-2.html	(from )
13:18:33	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-33d6290fb65674d4;gz%22	https://nupagamentos.online/robots.txt		(from )
13:18:34	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-33d6290fb65674d4;gz%22	https://nupagamentos.online/cdn.utmify.com.br/scripts/pixel/pixel.js	/home/health-slim/websites/finalmente/nupagamentos.online/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:35	31135/31135	---M-Z	200	added ('OK')	application/x-javascript	etag:%22799f-66e31297-3c7df072ddc4d078;gz%22	https://nupagamentos.online/orbi/loja/js/pixel.js	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/js/pixel.js	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:36	3776/3776	---M--	200	added ('OK')	image/png	etag:%22ec0-66e31295-81c47d2bd45d32aa;;;%22	https://nupagamentos.online/orbi/loja/images/favicon.png	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/favicon.png	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:37	15140/15140	---M-Z	200	added ('OK')	text/css	etag:%223b24-66e31291-7c12d6d79c390673;gz%22	https://nupagamentos.online/orbi/loja/css/products.css	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/css/products.css	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:38	2580/2580	---M-Z	200	added ('OK')	text/css	etag:%22a14-66e31291-1bf90688257817a5;gz%22	https://nupagamentos.online/orbi/loja/css/styles2.css	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/css/styles2.css	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:39	590/590	---M-Z	200	added ('OK')	text/css	etag:%2224e-66e31290-3ca69835a1cb7da6;gz%22	https://nupagamentos.online/orbi/loja/css/fonts.css	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/css/fonts.css	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:41	602/602	---MC-	200	added ('OK')	text/css	date:Sun,%2015%20Sep%202024%2016:18:40%20GMT	https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined:opsz,wght,FILL,GRAD@24,400,1,0	/home/health-slim/websites/finalmente/fonts.googleapis.com/css2a0ee.css	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:42	4240/4240	---M--	200	added ('OK')	image/webp	etag:%221090-66e31295-e401cf43a51f61f3;;;%22	https://nupagamentos.online/orbi/loja/images/logo.webp	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/logo.webp	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:42	58466/58466	---M--	200	added ('OK')	image/png	etag:%22e462-66e31295-ae6d2cfb51d3c679;;;%22	https://nupagamentos.online/orbi/loja/images/bannerrecompensas.png	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/bannerrecompensas.png	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:43	12418/12418	---M-Z	200	added ('OK')	text/html	etag:%223082-66e31aa7-d4692990b2620dc6;gz%22	https://nupagamentos.online/orbi/loja/akAzul.html	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/akAzul.html	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:45	188133/188133	---M--	200	added ('OK')	image/png	etag:%222dee5-66e31292-54f339f2637caba3;;;%22	https://nupagamentos.online/orbi/loja/images/akazul_1.png	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/akazul_1.png	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:45	12279/12279	---M-Z	200	added ('OK')	text/html	etag:%222ff7-66e31b5a-16c925a5089b4002;gz%22	https://nupagamentos.online/orbi/loja/akVermelho.html	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/akVermelho.html	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:47	11884/11884	---M-Z	200	added ('OK')	text/html	etag:%222e6c-66e31be5-5aa6551768cf2806;gz%22	https://nupagamentos.online/orbi/loja/m4Azul.html	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/m4Azul.html	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:47	215152/215152	---M--	200	added ('OK')	image/png	etag:%2234870-66e31293-b8edecba80bf4729;;;%22	https://nupagamentos.online/orbi/loja/images/akred_1.png	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/akred_1.png	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:49	225650/225650	---M--	200	added ('OK')	image/png	etag:%2237172-66e31294-60a3e230abb0611f;;;%22	https://nupagamentos.online/orbi/loja/images/azulm4_1.png	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/azulm4_1.png	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:49	11801/11801	---M-Z	200	added ('OK')	text/html	etag:%222e19-66e31c88-e966cad3a1ad936c;gz%22	https://nupagamentos.online/orbi/loja/m4Vermelho.html	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/m4Vermelho.html	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:51	184215/184215	---M--	200	added ('OK')	image/png	etag:%222cf97-66e31295-dad5c5766df1d0a1;;;%22	https://nupagamentos.online/orbi/loja/images/redm4_1.png	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/redm4_1.png	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:51	11881/11881	---M-Z	200	added ('OK')	text/html	etag:%222e69-66e31cfd-b748692418f2eeb5;gz%22	https://nupagamentos.online/orbi/loja/pistol.html	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/pistol.html	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:53	148192/148192	---M--	200	added ('OK')	image/png	etag:%22242e0-66e31292-b2faa59229a83e50;;;%22	https://nupagamentos.online/orbi/loja/images/2pistol_1.png	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/2pistol_1.png	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:53	163319/163319	---M--	200	added ('OK')	image/png	etag:%2227df7-66e31295-fa8d60c47c01a0ae;;;%22	https://nupagamentos.online/orbi/loja/images/esgotado.png	/home/health-slim/websites/finalmente/nupagamentos.online/orbi/loja/images/esgotado.png	(from https://nupagamentos.online/orbi/loja/index-2.html)
13:18:55	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2015%20Sep%202024%2016:18:54%20GMT	https://fonts.googleapis.com/robots.txt		(from https://nupagamentos.online/orbi/loja/index-2.html)
